line_id,library,version
spring-framework-5.3.x,net.sf.jopt-simple:jopt-simple,5.0.4
spring-framework-5.3.x,net.shibboleth.utilities:java-support,7.5.2
spring-framework-5.3.x,net.sourceforge.nekohtml:nekohtml,1.9.22
spring-framework-5.3.x,ognl:ognl,3.1.12
spring-framework-5.3.x,ognl:ognl,3.1.26
spring-framework-5.3.x,org.antlr:antlr4-runtime,4.7.2
spring-framework-5.3.x,org.antlr:antlr4-runtime,4.9.3
spring-framework-5.3.x,org.apache.activemq:activemq-broker,5.16.7
spring-framework-5.3.x,org.apache.activemq:activemq-client,5.16.7
spring-framework-5.3.x,org.apache.activemq:activemq-openwire-legacy,5.16.7
spring-framework-5.3.x,org.apache.activemq:artemis-commons,2.19.1
spring-framework-5.3.x,org.apache.activemq:artemis-core-client,2.19.1
spring-framework-5.3.x,org.apache.activemq:artemis-jms-client,2.19.1
spring-framework-5.3.x,org.apache.activemq:artemis-selector,2.19.1
spring-framework-5.3.x,org.apache.commons:commons-compress,1.21
spring-framework-5.3.x,org.apache.commons:commons-lang3,3.12.0
spring-framework-5.3.x,org.apache.geronimo.specs:geronimo-j2ee-management_1.1_spec,1.0.1
spring-framework-5.3.x,org.apache.geronimo.specs:geronimo-jms_1.1_spec,1.1.1
spring-framework-5.3.x,org.apache.httpcomponents:httpasyncclient,4.1.4
spring-framework-5.3.x,org.apache.httpcomponents:httpclient,4.5.10
spring-framework-5.3.x,org.apache.httpcomponents:httpclient,4.5.13
spring-framework-5.3.x,org.apache.httpcomponents:httpclient,4.5.14
spring-framework-5.3.x,org.apache.httpcomponents:httpclient,4.5.6
spring-framework-5.3.x,org.apache.httpcomponents:httpcore-nio,4.4.10
spring-framework-5.3.x,org.apache.httpcomponents:httpcore-nio,4.4.12
spring-framework-5.3.x,org.apache.httpcomponents:httpcore,4.4.10
spring-framework-5.3.x,org.apache.httpcomponents:httpcore,4.4.12
spring-framework-5.3.x,org.apache.httpcomponents:httpcore,4.4.13
spring-framework-5.3.x,org.apache.httpcomponents:httpcore,4.4.16
spring-framework-5.3.x,org.apache.johnzon:johnzon-core,0.9.5
spring-framework-5.3.x,org.apache.logging.log4j:log4j-api,2.17.1
spring-framework-5.3.x,org.apache.logging.log4j:log4j-api,2.17.2
spring-framework-5.3.x,org.apache.logging.log4j:log4j-core,2.17.1
spring-framework-5.3.x,org.apache.logging.log4j:log4j-core,2.17.2
spring-framework-5.3.x,org.apache.logging.log4j:log4j-jul,2.17.2
spring-framework-5.3.x,org.apache.logging.log4j:log4j-slf4j-impl,2.17.2
spring-framework-5.3.x,org.apache.logging.log4j:log4j-to-slf4j,2.17.2
spring-framework-5.3.x,org.apache.lucene:lucene-analyzers-common,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-backward-codecs,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-core,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-grouping,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-highlighter,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-join,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-memory,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-misc,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-queries,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-queryparser,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-sandbox,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-spatial3d,8.11.1
spring-framework-5.3.x,org.apache.lucene:lucene-suggest,8.11.1
spring-framework-5.3.x,org.apache.maven:maven-artifact,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-builder-support,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-model-builder,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-model,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-repository-metadata,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-resolver-provider,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-settings-builder,3.9.4
spring-framework-5.3.x,org.apache.maven:maven-settings,3.9.4
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-api,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-connector-basic,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-impl,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-named-locks,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-spi,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-transport-file,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-transport-http,1.9.14
spring-framework-5.3.x,org.apache.maven.resolver:maven-resolver-util,1.9.14
spring-framework-5.3.x,org.apache.santuario:xmlsec,2.0.10
spring-framework-5.3.x,org.apache.tomcat:tomcat-annotations-api,9.0.83
spring-framework-5.3.x,org.apache.tomcat.embed:tomcat-embed-core,9.0.83
spring-framework-5.3.x,org.apache.tomcat.embed:tomcat-embed-el,9.0.83
spring-framework-5.3.x,org.apache.tomcat.embed:tomcat-embed-websocket,9.0.83
spring-framework-5.3.x,org.apache.velocity:velocity,1.7
spring-framework-5.3.x,org.apiguardian:apiguardian-api,1.1.1
spring-framework-5.3.x,org.apiguardian:apiguardian-api,1.1.2
spring-framework-5.3.x,org.aspectj:aspectjrt,1.9.19
spring-framework-5.3.x,org.aspectj:aspectjweaver,1.9.7
spring-framework-5.3.x,org.assertj:assertj-core,3.22.0
spring-framework-5.3.x,org.atteo:evo-inflector,1.3
spring-framework-5.3.x,org.attoparser:attoparser,2.0.5.RELEASE
spring-framework-5.3.x,org.bouncycastle:bcpkix-jdk15on,1.70
spring-framework-5.3.x,org.bouncycastle:bcprov-jdk15on,1.59
spring-framework-5.3.x,org.bouncycastle:bcprov-jdk15on,1.70
spring-framework-5.3.x,org.bouncycastle:bcutil-jdk15on,1.70
spring-framework-5.3.x,org.codehaus.groovy:groovy-templates,3.0.19
spring-framework-5.3.x,org.codehaus.groovy:groovy-xml,3.0.19
spring-framework-5.3.x,org.codehaus.groovy:groovy,3.0.19
spring-framework-5.3.x,org.codehaus.plexus:plexus-cipher,2.0
spring-framework-5.3.x,org.codehaus.plexus:plexus-classworlds,2.5.2
spring-framework-5.3.x,org.codehaus.plexus:plexus-component-annotations,1.5.5
spring-framework-5.3.x,org.codehaus.plexus:plexus-interpolation,1.26
spring-framework-5.3.x,org.codehaus.plexus:plexus-sec-dispatcher,2.0
spring-framework-5.3.x,org.codehaus.plexus:plexus-utils,1.5.5
spring-framework-5.3.x,org.codehaus.plexus:plexus-utils,1.5.8
spring-framework-5.3.x,org.codehaus.plexus:plexus-utils,3.0.17
spring-framework-5.3.x,org.codehaus.plexus:plexus-utils,3.0.18
spring-framework-5.3.x,org.codehaus.plexus:plexus-utils,3.4.1
spring-framework-5.3.x,org.codehaus.plexus:plexus-utils,3.5.1
spring-framework-5.3.x,org.codehaus.woodstox:stax2-api,3.1.4
spring-framework-5.3.x,org.cryptacular:cryptacular,1.1.4
spring-framework-5.3.x,org.eclipse.jetty:jetty-annotations,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-client,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-continuation,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-http,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-io,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-jndi,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-plus,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-security,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-server,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-servlet,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-servlets,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-util-ajax,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-util,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-webapp,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty:jetty-xml,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:javax-websocket-client-impl,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:javax-websocket-server-impl,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:websocket-api,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:websocket-client,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:websocket-common,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:websocket-server,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.jetty.websocket:websocket-servlet,9.4.53.v20231009
spring-framework-5.3.x,org.eclipse.parsson:parsson,1.0.0
spring-framework-5.3.x,org.eclipse.sisu:org.eclipse.sisu.inject,0.3.0
